short,bibrf
Adams & Faure 1998,NA
Williams et al.  2004,williams2004late
Thompson & Anderson 2000,NA
Williams 2002,NA
Bartlein et al. 2011,bartlein2011pollen
Jackson et al. 2000,NA
Veloz et al. 2012,NA
Whitmore et al. 2005,whitmore2005modern
Seddon et al. 2014,NA
McMichael et al. 2012,NA
Grimm et al. 2009,NA
Varela et al. 2011,NA
Willard et al. 2005,NA
MacDonald et al. 2008,NA
Williams et al.  2009,NA
Agenbroad 2005,NA
Munoz & Gajewski 2010,NA
Fyfe et al. 2009,NA
Hadly et al. 2009,NA
Williams et al. 2010,NA
Sawada et al. 2004,NA
Booth et al. 2012,NA
Brewer et al. 2012,NA
Munoz et al. 2010,NA
Ordonez & Williams 2013,NA
Blois et al. 2011,NA
Bennett & Fuller 2002,NA
Blois et al. 2013,NA
Jackson & Hobbs 2009,NA
Viau et al. 2006,NA
Viau et al. 2002,NA
Williams & Shuman 2008,NA
Dawson et al. 2016,NA
Graham et al. 2016,NA
Kujawa et al. 2016,NA
Lehmann et al. 2016,NA
McKay & Emile-Geay 2016,NA
Mustaphi et al. 2016,NA
Paudel 2016,NA
Plotnick et al. 2016,NA
Stegner 2016,NA
Blonder et al. 2015,NA
Cinget et al. 2015,NA
Clifford & Booth 2015,NA
Gajewski 2015,NA
Edwards et al. 2015,NA
Franklin et al. 2015,NA
Goring et al. 2015,NA
Jezkova et al. 2015,NA
Lankau et al. 2015,NA
Parnell et al. 2015,NA
Sottile et al. 2015,NA
Blarquez et al. 2014,NA
Blois et al. 2014,NA
Boulanger & Lyman 2014,NA
Kuzmina 2014,NA
McGuire & Davis 2014,NA
Sertich et al. 2014,NA
Shiller et al. 2014,NA
Torre et al. 2014,NA
Ellis et al. 2013,NA
Flantua et al. 2013,NA
Fulton et al. 2013,NA
Grimm et al. 2013,NA
J.L. Blois et al. 2013,NA
M. Dawson et al. 2013,NA
McLauchlan et al. 2013,NA
Ordonez 2013,NA
Record et al. 2013,NA
Smith & Polly 2013,NA
Uhen et al. 2013,NA
Urrego et al. 2013,NA
Bunbury et al. 2012,NA
Goring et al. 2012,NA
Jackson 2012,NA
Jardine et al. 2012,NA
Lima & Diniz 2012,NA
Liu et al. 2012,NA
Pardi & Smith 2012,NA
R. Booth et al. 2012,NA
Viau & Gajewski 2012,NA
Yansa & Adams 2012,NA
J. Blois et al. 2011,NA
Anemone et al. 2011,NA
Barnosky et al. 2011,NA
Buckland et al. 2011,NA
Mitchell 2011,NA
Whyte 2010,NA
Williams et al. 2011,NA
Anderson & Feiler 2009,NA
Booth et al. 2010,NA
Finkelstein 2010,NA
Gajewski 2008,NA
Gonzales et al. 2008,NA
Liu et al. 2010,NA
Pearce et al. 2010,NA
Williams et al. 2007,NA
Finkelstein et al. 2006,NA
Creating Trees from Trees,NA
Ballard et al. 2016,NA
Hadly & Barnosky 2009,NA
Record & Charney 2016,NA
