xldataset,broader
% Abundance by taxa,NA
% abundance in surface pollen,pollen
% increase in a and correlation,NA
% land area covered by small lakes,landcover
% pollen abundance and 14C data compared with insolation data,pollen; climate; chronology
% pollen abundance by taxa at depths,pollen; depth
% pollen vs % woody cover; % pollen and woody cover vs lat;lon,pollen; landcover
% Tree cover,landcover
% Tree cover by Taxa,landcover
% woody cover,landcover
% woody cover for holocene,landcover
% Woody cover/% pollen over time,pollen; landcover
A summary of Pliocene and Pleistocene records of global; regional; marine; and terrestrial changes relevant to southwestern Africa,sample sites
Additive partitioning of species richness for all samples,statistical
Affinity scores from pollen and midden samples,pollen; middens
Age comparison of each event,chronology; events
Age models for different taxa,chronology; taxonomy
Age-depth graphs with different 14C dating techniques,chronology
Age-depth model for stratigraphy,chronology; stratigraphy
Age-depth models,chronology
AIC values for three models vs focal radius,statistical
Alternative geographical ranges of taxa from three algorithms and simulations,landcover
Analyses assessing influence of various environmental factors on the relative abundance og genome combinations,NA
Analysis of pollen records from lakes; charcoal records,pollen; charcoal
Analytical regions used in study,sample sites
Anomalies of mean temperature of the warmest month in comparing two time periods,climate
Archeological site density and significance of disturbance in pollen records,sample sites; pollen
Area of sympatry analysis,sample sites
Aspect map with stratigraphic levels,stratigraphy; sample sites
Assessment of community composition and abundance of individuals between sites,landcover; sample sites
Associations between archaelogical; climate; and vegetation records for study region,NA
Averages of pollen taxa over time,pollen
Avg time series mean july temp over time in different regions,climate
B Diversity and spatial turnover in ecological systems,NA
Bathymetry of Lakes,landcover
Biogeographical provinces from study,NA
Biome extent and within-biome variations in LAI,NA
Biomes,NA
Biomisation of pollen record,NA
Biostratigraphy and pollutant profile for sediment core,depth
Biotic vs climatic velocities; central tendencies of the data,NA
Body mass changes over time,NA
Body mass changes vs temperature,NA
Body mass of mammalian orders over time and space.,NA
Broad vegetation zones and modeled pollen % from area in map,NA
Bulk density; %carbon; %nitrogen; C/N ratio; and C accumulation,NA
C and O values of carbonate component of fossil mammalian tooth enamel,NA
Calibrated 14C dates for archaeological contexts from the site compared to time of appearance of Hordeum type pollen,NA
Calibrated age of bone collagen samples,NA
Calibrated radiocarbon ages vs depth,NA
Cartoon of habitat,NA
Centennial bioclimatic data over time,NA
Central tendencies of  % tree taxa landcover,NA
Central tendencies of body mass distributions,NA
Central tendencies of compiled C and O values of carbonate component of tooth enamel data,NA
Central tendencies of deposits,NA
Central tendencies of identified ecosystem types shown by box-plots of percentages,NA
Central tendencies of index of divergence by tolerance for shade and fire,NA
Central tendencies of offest of O values of enamel carbonate and phosphate from different published studies,NA
central tendencies of pinus sample size,NA
Central tendencies of properties of modern threatened and non-threatened species,NA
Central tendencies of vector components of community climate mismatch deviations,NA
Central tendencies showing distribution of full-glacial RLAIs for databased reconstructions and three BIOME4 experiments,NA
Central Tendency of Abundances,NA
Centralized charcoal concentration values for records,NA
Change in geographic range sizes for mammalian genera,NA
Change in log10 area over time for genera,NA
Change in median and mean deposition times,NA
Change point diagram for certain taxa,NA
Changes in 18O,climate
Changes in climatic conditions over time,NA
Changes in environmental conditions over time for individual taxa,NA
Changes in lacustrine Sedimentary d15N,NA
Charcoal and pollen % for taxa at site,charcoal; pollen
Charcoal influx diagrams,charcoal
Chronology for core sample,chronology
Classified landsat image of site with geologic map; landcover; and fossil sites,landcover; sample sites
Climate data anamolies from modern analog,climate
Climate data distribution and regression,climate
climate data distribution and regression,climate
Climatic data for site over year,climate
Climatic niche models based on 14 variables,climate
CO2 treatments for BIOME4 simulations,climate
Comparison across climatic; bioclimatic; and vegetational variables of R^2 for six cross-validation experiements,statistical
Comparison across climatic; bioclimatic; and vegetational variables of RMSE for six cross-validation experiements,statistical
Comparison of Holocene paleoclimate records,climate
Comparison of properties of modern threatened and non-threatened species,species distributions
Comparison of select diagnostic species from site with modern species or known fossil assemblages,taxonomic
Comparison of trophic groups between faunal assemblages and site fauna,taxonomic
Composite image of Ethiopia and polygons of surrounding countries,geography
"Composite pollen % abundance depth core; ""power spectrum""  for composite record",pollen; depth
Conceptual design of infostructure for dating terrestrial transformation,NA
Conceptual figure showing antiquity; turnover; and durations of ecosystems based on fossil pollen sequence from sediment core,NA
Continental-scale quantitative reconstructions for past 15k yr,NA
Contour plots of ecological events with linear interpolation,NA
Contrasting ecosystem trajectories from historic through time.,NA
Core locations,sample sites
Correlating excavation between two years; depth of sample strata,depth
Correlation between climate change and predictability of GDMs,climate; species distributions
Correlation between generic range sizes,species distributions
Correlation between observed and reconstructed climate models,climate
correlations between SSTs and three dominant EOFs,climate
Countries mentioned in text,geography
Credibility tree resulting from combined beast analysis of taxa,NA
Current and past land mass; Change in size of St.Paul Island,geography
Data density over multiple time scales of different databases,statistical
Data linking radiative forcing; E. Pacific cooling/W. N. American Drought; Increased fire frequency/severity,climate
Data model comparison: lake status anamolies; simulated P-PE; comparison of lake status anamoly and climate model simulation,climate; statistical
Data relating to palynological publications over time,statistical
Data source; year of publication and sites removed,statistical
Decay function of information associated with pollen sequences over time,statistical; pollen
Decision structure showing ecological explanations for outcomes,NA
Decline ages determined using re-analysis dataset,chronology; pollen
DEM with hilshade of WU fossil localities,sample sites; geography
Density of archeological sites,NA
Depth of pollen rise signaling settlement,NA
Depth profiles of different pollen taxa,NA
Detrended correspondence analysis,NA
Development of probability distributions for timing of rise of taxa,NA
Diagram outlining data and procedures used in species distribution modeling,NA
Distance-decay plots for biomes,NA
Distribution of ages for deposition rates of samples,NA
Distribution of available sites in pollen database,NA
Distribution of community climate deviations across new world tree communities,NA
Distribution of paleozoic sedimentary geologic units,NA
Distribution of pollen abundance by taxa,NA
Distribution of regression slopes with respect to threshold and # of analog matches allowed for bio/climatic data,NA
Distribution of RMSE values with respect to threshold and # of analog matches allowed for bio/climatic data,NA
Diversity indices averaged for each ecoregion,NA
Diversity indices for NA boreal forest taiga biome,NA
Dominant forest type,NA
Ecological niche as estimated by bioclim and environmental distances from two environmental dimensions,NA
El Nino reconstruction and O18 Pacific Upwelling; Widespread fire in Patagonia and SW USA; Pine stand ages,NA
Ensemble species distribution models of taxa for present and reconstructed climate conditions.,NA
Ensembled geographical range of taxa over time,NA
env. showing # of sites compared to SWI,NA
Equation of how SDM was created,NA
Estimated antiquity of ecosystems from across US,NA
Estimated prediction accuracy vs observed prediction accuracy; across time niche similarity vs observed prediction accuracy,NA
Estimates of carbon accumulation in peatlands over time,NA
estimates of cluster membership,NA
Estimation of the timing of taxa decline at each site,NA
Evidence of harmonized response to large-scale temp variations,NA
Example climate diagram for CARY forest plot,NA
Example of modern weevil distribution,NA
Examples of origination of modern ecosystems,NA
Excess lead activity as function of dry peat mass and depth,NA
Expected spatial distribution of cytoplasm combinations,NA
Fites of ordinary least-squares regression for evaluated environmental variables,NA
Floor plan of building,NA
Fossil and modern occurrences of small mammals,NA
Fossil Bearing localities on geologic map; aerial image; and DEM,NA
Fossil images,NA
Fossil Images,NA
Fossil localities in Google Earth,NA
Fossil localities in Google Earth; Starburst visualization providing  more data for each site.,NA
Fossil pollen % abundance plotted against seasonal temp/precip,NA
Fossil pollen and modern pollen site locations,NA
Fossils representative of the parkland veg,NA
Four transects used to plot latitudinal gradient in tree cover,NA
Framework for modeling resource paleoscapes,NA
Fraxinus pollen abundance vs. winter temp/precip,NA
Gamma density functions describing the probability density function for deposition times,NA
Generalized depiction of two migrations of mammoth species,NA
Geographic distribution of certain data,NA
Geographic location of lakes,NA
Geographical distribution of sites,NA
Glacial re-colonization of taxa over time,NA
Global timeline of human transformation of terrestrial biosphere,NA
Graphical depiction of expected spatial and temporal scopes of modern; historical; and paleontological ecological perspectives,NA
Growth in vertebrate paleontology publication output,NA
harmonic analysis results for F-test,NA
Heat maps of PLS and pollen data along with predicted sediment pollen for varied taxa,NA
Heat maps of PLS data; STEPPS composition estimates; and stdev of posterior sample,NA
Hemlock decline age estimates,NA
Holocene paleoclimatic records,NA
How main data objects relate to one another in neotoma package,NA
Hypothetical graph of ecosystem over time,NA
Hypothetical patterns of species associations on landscape under certain scenarios,NA
image,NA
images,NA
Images of vegetation,NA
Incidence plots for the most common taxa within each formation,NA
Inferred colonization routes,NA
Information content (Shannon-Weiner Index) of modern pollen samples; locational error; deposition environment,NA
Insolation; Ice sheet area and rate of change,NA
Intensity value graphs of red; green; and blue light,NA
Interpolated ages of each event for multiple methods using different taxa,NA
Interpolated difference in avg. pollen %,NA
Interpolated square root of pollen percentage,NA
July anamolies,NA
July anamolies over time,NA
Key inputs and modelling programs used within LRA and MSA,NA
LAI and RLAI trends for ENA; MID and SEUS (regions),NA
LAI and RLAI trends for SCAN; WCAN; and AK (regions),NA
Land carbon storage at different time intervals,NA
Landcover,NA
Landscape stability in alternative states (eg. Transition State vs Steady Degraded State),NA
Latitudinal rates of change of boundaries of reconstructed core distributions,NA
Likelihood of analogs to modern ecosystems for site,NA
Likelihood of finding an analog for any sample by choice of threshold,NA
Likelihood ratio of an analog to grassland against SCD score,NA
lithology,NA
Location map of core sites.,NA
Location of Anderson Pond and LIS maximum extent,NA
Location of core samples and sites from study and others,NA
Location of fossil pollen sites in ecoregions,NA
Location of midden series and pollen distribution,NA
Location of modern and fossil pollen records,NA
Location of site,NA
Location of site within State and City,NA
Location of sites in pollen database,NA
Location of sites in regional pollen synthesis and central tendencies of changes,NA
Locations of sample sites,NA
Locator map,NA
locator map for line graphs,NA
Locator map of study area,NA
LRA based estimates of local vegetation cover within the NSAP of sites.,NA
Macrofossil and humification record for cores,NA
Macrofossil aseemblages graphed on scale of abundance,NA
Major classes and their relations to one another,NA
Mammal fossil abundance in Europe,NA
Mammoth distribution from 14C dated localities over time,NA
Map localities of geographic landmarks,NA
Map of archaeological sites,NA
Map of faunas used in cluster analysis,NA
Map of study area with pollen sites,NA
Map of US Gulf Coast,NA
Maps of pollen sites and best analog biome locations,NA
Maps of reconstructed LAI and RLAI for pollen and BIOME4,NA
Maps of reconstructed LAI and RLAI for pollen and BIOME5,NA
Maps of reconstructed vs observed models,NA
Marine currents; climate zones and southwestern South African fossil sites,NA
Marine isotope curve for past 200k years,NA
Mean July temp anomaly for past 14k years,NA
Mean July temp anomaly maps 2100-3000 YBP,NA
Mean July temp of past 3000yrs from multiple studies,NA
Mean latitudinal distribution of fossil mammal taxa,NA
Mean values and 95% credible intervals for differential production parameter phi; by taxon for the four considered models,NA
Median-joining network of certain types for several samples,NA
Methods for using comunity climate framework,NA
Micrographs of fossil taxa,NA
Migration pathways of aquatic taxa,NA
Model output results and sensitivity analysis,NA
Modeled exposure of areal continental shelf during Penultimate glacial maximum,NA
Modeled response of deposition time with age,NA
modern analogs compatible with past time periods,NA
Modern and 6ka july temperatures,NA
Modern and 6ka july temperatures; July anamolies over time,NA
Modern and fossil pollen samples over elevation,NA
Modern distribution of pollen taxa,NA
